,graph,GEPA, EPA,EPA_LW,RI,DA ,MDL,PBSI
110,Labeled_UG_IG_GraphInfo 88 1236285940819038208 .txt.RData.RData.RData,1,1,1,1,1,3,2
111,Labeled_UG_IG_GraphInfo 89 1245656212261097472 .txt.RData.RData.RData,7,5,5,5,11,11,10
112,Labeled_UG_IG_GraphInfo 9 1265268439502991360 .txt.RData.RData.RData,0,1,1,1,0,2,3
113,Labeled_UG_IG_GraphInfo 90 1223188967950114816 .txt.RData.RData.RData,0,1,1,1,0,3,2
114,Labeled_UG_IG_GraphInfo 91 1220504916583682048 .txt.RData.RData.RData,0,0,0,0,0,2,1
115,Labeled_UG_IG_GraphInfo 92 1105289297396146176 .txt.RData.RData.RData,0,0,0,0,0,2,1
116,Labeled_UG_IG_GraphInfo 94 1237530812142088192 .txt.RData.RData.RData,0,0,0,0,1,2,0
117,Labeled_UG_IG_GraphInfo 95 1241659754109378560 .txt.RData.RData.RData,0,0,0,0,0,2,0
118,Labeled_UG_IG_GraphInfo 96 1234800840948535296 .txt.RData.RData.RData,1,2,3,2,1,10,6
119,Labeled_UG_IG_GraphInfo 97 1235624995281350656 .txt.RData.RData.RData,0,0,0,0,1,2,1
120,Labeled_UG_IG_GraphInfo 98 995638432318738432 .txt.RData.RData.RData,2,2,2,2,2,4,0
121,Labeled_UG_IG_GraphInfo 99 1105422618621067264 .txt.RData.RData.RData,1,1,1,0,0,2,1
