"","Graph_Name","n_nodes","n_TS_edges","n_netw_edges","n_comps","n_isolated"
"60","GraphInfo 152 1326136701513732097 .txt","45","2","53","3","2"
"61","GraphInfo 153 1326135574844018688 .txt","30","0","40","1","0"
"62","GraphInfo 154 1326117461427695616 .txt","23","2","20","3","2"
"63","GraphInfo 155 1326108712843554818 .txt","43","0","90","1","0"
"64","GraphInfo 156 1326058528256090115 .txt","22","1","21","2","1"
"65","GraphInfo 158 1340230381585510401 .txt","23","1","33","2","1"
"66","GraphInfo 159 1340211728131391489 .txt","26","0","66","1","0"
"67","GraphInfo 16 1333896793482997763 .txt","50","4","93","5","4"
"68","GraphInfo 160 1340197722540761089 .txt","26","1","29","2","1"
"69","GraphInfo 161 1340192419988553729 .txt","29","1","47","2","1"
"70","GraphInfo 163 1340191659913433088 .txt","23","0","26","1","0"
"71","GraphInfo 164 1339994006592303105 .txt","24","0","65","1","0"
"72","GraphInfo 165 1340123973846110210 .txt","42","1","56","2","1"
"73","GraphInfo 166 1339976866468225024 .txt","33","1","42","2","1"
"74","GraphInfo 167 1339961011303026690 .txt","49","36","13","37","32"
"75","GraphInfo 168 1339944783217876992 .txt","49","0","225","1","0"
"76","GraphInfo 169 1339941865450254336 .txt","44","0","171","1","0"
"77","GraphInfo 17 1334813597260804096 .txt","37","22","19","23","21"
"78","GraphInfo 170 1339977516417597440 .txt","80","0","101","1","0"
"79","GraphInfo 171 1339937478610984960 .txt","67","0","69","1","0"
"80","GraphInfo 172 1339963613667192833 .txt","36","16","26","17","15"
"81","GraphInfo 173 1339938509096951808 .txt","93","18","100","19","18"
"82","GraphInfo 174 1339938138303696897 .txt","41","28","14","29","28"
"83","GraphInfo 175 1339937964328181767 .txt","60","22","81","23","21"
"84","GraphInfo 176 1339940565329260545 .txt","40","8","59","9","8"
"85","GraphInfo 177 1339940522538971138 .txt","42","21","39","22","21"
"86","GraphInfo 178 1339938379266478082 .txt","48","33","14","34","31"
"87","GraphInfo 179 1340386809956753413 .txt","50","1","415","2","1"
"88","GraphInfo 18 1333948999863316480 .txt","27","3","33","4","3"
"89","GraphInfo 180 1340399478335918080 .txt","50","24","32","25","24"
"90","GraphInfo 181 1340386828126437385 .txt","96","38","84","39","37"
"91","GraphInfo 182 1340396594827382785 .txt","74","6","86","7","6"
"92","GraphInfo 183 1340433156835430400 .txt","62","1","117","2","1"
"93","GraphInfo 184 1340426169108185088 .txt","43","0","162","1","0"
"94","GraphInfo 185 1340435443561672705 .txt","27","0","48","1","0"
"95","GraphInfo 186 1340391773567217664 .txt","53","1","103","2","1"
"96","GraphInfo 187 1340527524481294345 .txt","42","1","78","2","1"
"97","GraphInfo 188 1340394667217547264 .txt","44","1","77","2","1"
"98","GraphInfo 189 1340390042020311043 .txt","36","15","21","16","14"
"99","GraphInfo 19 1336762932181479433 .txt","25","3","22","4","3"
"100","GraphInfo 190 1340420662666641409 .txt","85","2","97","3","2"
"101","GraphInfo 191 1340371473953939460 .txt","65","0","192","1","0"
"102","GraphInfo 192 1340369300452864000 .txt","25","17","10","18","17"
"103","GraphInfo 193 1340369357717856256 .txt","30","13","23","14","13"
"104","GraphInfo 194 1340371409399328769 .txt","71","10","215","11","10"
"105","GraphInfo 195 1340369343234904064 .txt","55","19","67","20","19"
"106","GraphInfo 196 1340369417612439552 .txt","60","28","49","29","28"
"107","GraphInfo 197 1340370254220947464 .txt","52","22","38","23","19"
"108","GraphInfo 198 1340339354955296769 .txt","79","2","154","3","2"
"109","GraphInfo 199 1340345641231409153 .txt","21","1","19","2","1"
"110","GraphInfo 2 1335980010398691330 .txt","29","0","68","1","0"
"111","GraphInfo 20 1336794062519738368 .txt","68","2","248","3","2"
"112","GraphInfo 200 1340335306218868736 .txt","53","0","123","1","0"
"113","GraphInfo 201 1340334543702614021 .txt","80","1","167","2","1"
"114","GraphInfo 202 1340334132849733637 .txt","93","3","201","4","3"
"115","GraphInfo 203 1340415715480727553 .txt","49","33","18","34","31"
"116","GraphInfo 204 1340335583923679234 .txt","90","40","74","41","40"
"117","GraphInfo 205 1340342314347208706 .txt","52","19","78","20","18"
"118","GraphInfo 206 1340334118375198727 .txt","50","23","33","24","22"
"119","GraphInfo 207 1340525611840880640 .txt","20","0","29","1","0"
"120","GraphInfo 208 1340327956787441666 .txt","25","1","30","2","1"
"121","GraphInfo 209 1340320081432244224 .txt","31","0","126","1","0"
"122","GraphInfo 21 1336454653467308034 .txt","19","4","15","5","3"
"123","GraphInfo 210 1340319062216327170 .txt","92","0","1362","1","0"
"124","GraphInfo 211 1340318083332911105 .txt","25","1","23","2","1"
"125","GraphInfo 212 1340470976639807489 .txt","87","0","161","1","0"
"126","GraphInfo 213 1340327679229374464 .txt","71","1","171","2","1"
"127","GraphInfo 214 1340344685588590592 .txt","25","0","27","1","0"
"128","GraphInfo 215 1340324581278662657 .txt","59","0","94","1","0"
"129","GraphInfo 216 1340309751457046528 .txt","45","0","198","1","0"
"130","GraphInfo 217 1340331095552770049 .txt","37","0","40","1","0"
"131","GraphInfo 218 1340328958659883008 .txt","36","0","50","1","0"
"132","GraphInfo 219 1340309055613517827 .txt","34","3","40","4","3"
"133","GraphInfo 22 1336430038594543621 .txt","24","5","30","6","5"
"134","GraphInfo 220 1340524844811694080 .txt","60","0","148","1","0"
"135","GraphInfo 221 1340308332515487745 .txt","35","0","44","1","0"
"136","GraphInfo 222 1340362234153734144 .txt","74","7","118","8","7"
"137","GraphInfo 223 1340325163624243200 .txt","92","68","24","69","64"
"138","GraphInfo 224 1340309683832274945 .txt","96","1","1228","2","1"
"139","GraphInfo 225 1340306375658754048 .txt","71","39","56","40","38"
"140","GraphInfo 226 1340307509328920577 .txt","33","22","10","23","19"
"141","GraphInfo 227 1338931402742640640 .txt","39","8","32","9","8"
"142","GraphInfo 228 1338852705524133889 .txt","30","23","7","24","23"
"143","GraphInfo 229 1338856326386970627 .txt","47","1","100","2","1"
"144","GraphInfo 23 1336513979502321665 .txt","19","3","16","4","3"
